root,session_date,morning_first_timestamp,morning_last_timestamp,morning_open,morning_high,morning_low,morning_close,morning_volume,morning_pv,morning_bar_count,morning_vwap,lunch_first_timestamp,lunch_last_timestamp,lunch_open,lunch_high,lunch_low,lunch_close,lunch_volume,lunch_pv,lunch_bar_count,lunch_vwap,cohort,morning_range,morning_reference_median_20,morning_range_ratio,morning_state,morning_range_ratio_bin,lunch_range,lunch_range_div_morning_range,lunch_range_contraction,lunch_trendiness,lunch_signed_trendiness,morning_signed_direction,lunch_signed_direction,trend_continuation_failure,new_high_or_low_during_lunch,close_location_within_lunch_range,vwap_cross,vwap_touch_after_morning_extension,year,month,week
NQ,2024-05-10,2024-05-10 13:30:00+00:00,2024-05-10 15:29:00+00:00,18274.25,18348.0,18188.5,18238.5,193366,3532539023.25,120,18268.66679380036,2024-05-10 15:30:00+00:00,2024-05-10 17:59:00+00:00,18238.5,18254.25,18193.0,18252.0,103075,1879009198.5833333,150,18229.53382084243,primary_2023_2025,159.5,158.0,1.009493670886076,standard,1_0_to_1_3,61.25,0.384012539184953,True,0.22040816326530613,0.22040816326530613,-1,1,True,False,0.963265306122449,False,False,2024,2024-05,2024-W19
NQ,2024-05-13,2024-05-13 13:30:00+00:00,2024-05-13 15:29:00+00:00,18331.75,18336.25,18252.25,18279.75,156935,2870563843.3333335,120,18291.419016365588,2024-05-13 15:30:00+00:00,2024-05-13 17:59:00+00:00,18279.5,18309.5,18235.0,18284.25,99773,1824164263.6666667,150,18283.145376671713,primary_2023_2025,84.0,159.5,0.5266457680250783,standard,le_0_7,74.5,0.8869047619047619,False,0.06375838926174497,0.06375838926174497,-1,1,True,True,0.6610738255033557,True,True,2024,2024-05,2024-W20
NQ,2024-05-14,2024-05-14 13:30:00+00:00,2024-05-14 15:29:00+00:00,18274.25,18370.75,18265.5,18358.5,217258,3979018613.1666665,120,18314.716204543292,2024-05-14 15:30:00+00:00,2024-05-14 17:59:00+00:00,18358.5,18358.75,18298.0,18331.25,98050,1796179669.9166667,150,18319.017541220466,primary_2023_2025,105.25,158.0,0.6661392405063291,standard,le_0_7,60.75,0.5771971496437055,False,0.448559670781893,-0.448559670781893,1,-1,True,False,0.5473251028806584,True,True,2024,2024-05,2024-W20
NQ,2024-05-15,2024-05-15 13:30:00+00:00,2024-05-15 15:29:00+00:00,18509.5,18602.0,18446.75,18595.75,211582,3920025439.4166665,120,18527.216112035363,2024-05-15 15:30:00+00:00,2024-05-15 17:59:00+00:00,18595.25,18683.75,18577.25,18682.0,113172,2108005073.5,150,18626.560222493197,primary_2023_2025,155.25,158.0,0.9825949367088608,standard,0_7_to_1_0,106.5,0.6859903381642513,False,0.8145539906103286,0.8145539906103286,1,1,False,True,0.9835680751173709,False,False,2024,2024-05,2024-W20
NQ,2024-05-16,2024-05-16 13:30:00+00:00,2024-05-16 15:29:00+00:00,18678.75,18760.75,18672.0,18745.0,172624,3230016817.1666665,120,18711.284741210184,2024-05-16 15:30:00+00:00,2024-05-16 17:59:00+00:00,18745.0,18755.5,18670.75,18710.0,140722,2633779425.5833335,150,18716.188126826888,primary_2023_2025,88.75,155.875,0.5693664795509222,standard,le_0_7,84.75,0.9549295774647887,False,0.41297935103244837,-0.41297935103244837,1,-1,True,True,0.4631268436578171,True,True,2024,2024-05,2024-W20
NQ,2024-05-17,2024-05-17 13:30:00+00:00,2024-05-17 15:29:00+00:00,18651.25,18677.0,18620.5,18654.75,166927,3113151084.8333335,120,18649.775559575944,2024-05-17 15:30:00+00:00,2024-05-17 17:59:00+00:00,18654.75,18661.0,18607.75,18615.25,102375,1907589976.9166667,150,18633.35752787953,primary_2023_2025,56.5,149.25,0.3785594639865997,standard,le_0_7,53.25,0.9424778761061947,False,0.7417840375586855,-0.7417840375586855,1,-1,True,True,0.14084507042253522,True,True,2024,2024-05,2024-W20
NQ,2024-05-20,2024-05-20 13:30:00+00:00,2024-05-20 15:29:00+00:00,18643.5,18772.0,18635.25,18752.5,159058,2978402622.1666665,120,18725.261364827085,2024-05-20 15:30:00+00:00,2024-05-20 17:59:00+00:00,18752.75,18794.5,18731.75,18745.5,112863,2117132758.0833333,150,18758.430646742807,primary_2023_2025,136.75,141.0,0.9698581560283688,standard,0_7_to_1_0,62.75,0.45886654478976235,True,0.11553784860557768,-0.11553784860557768,1,-1,True,True,0.21912350597609562,False,False,2024,2024-05,2024-W21
NQ,2024-05-21,2024-05-21 13:30:00+00:00,2024-05-21 15:29:00+00:00,18686.0,18763.5,18678.0,18753.5,158730,2971521897.75,120,18720.606676431675,2024-05-21 15:30:00+00:00,2024-05-21 17:59:00+00:00,18753.75,18775.75,18731.5,18775.75,86763,1627151267.5833333,150,18753.976552024862,primary_2023_2025,85.5,137.75,0.6206896551724138,standard,le_0_7,44.25,0.5175438596491229,False,0.4971751412429379,0.4971751412429379,1,1,False,True,1.0,False,False,2024,2024-05,2024-W21
NQ,2024-05-22,2024-05-22 13:30:00+00:00,2024-05-22 15:29:00+00:00,18808.0,18838.75,18788.75,18833.75,141183,2656639848.8333335,120,18816.995309869697,2024-05-22 15:30:00+00:00,2024-05-22 17:59:00+00:00,18834.5,18837.5,18746.0,18771.75,116651,2192964360.8333335,150,18799.361864307495,primary_2023_2025,50.0,129.625,0.3857280617164899,standard,le_0_7,91.5,1.83,False,0.6857923497267759,-0.6857923497267759,1,-1,True,True,0.2814207650273224,True,True,2024,2024-05,2024-W21
NQ,2024-05-23,2024-05-23 13:30:00+00:00,2024-05-23 15:29:00+00:00,18981.5,18982.5,18802.0,18894.5,287689,5434501429.75,120,18890.195418490104,2024-05-23 15:30:00+00:00,2024-05-23 17:59:00+00:00,18894.75,18933.5,18711.25,18716.5,196373,3700851163.1666665,150,18846.028543469147,primary_2023_2025,180.5,120.75,1.494824016563147,standard,1_3_to_1_5,222.25,1.2313019390581716,False,0.8020247469066367,-0.8020247469066367,-1,-1,False,True,0.023622047244094488,True,True,2024,2024-05,2024-W21
NQ,2024-05-24,2024-05-24 13:30:00+00:00,2024-05-24 15:29:00+00:00,18762.25,18919.0,18732.5,18900.75,216642,4075455315.3333335,120,18811.935429571982,2024-05-24 15:30:00+00:00,2024-05-24 17:59:00+00:00,18900.75,18915.75,18874.25,18903.5,114562,2164778313.0,150,18896.128847261745,primary_2023_2025,186.5,120.75,1.544513457556936,exhaustion,1_5_to_2_0,41.5,0.2225201072386059,True,0.06626506024096386,0.06626506024096386,1,1,False,False,0.7048192771084337,False,False,2024,2024-05,2024-W21
NQ,2024-05-27,2024-05-27 13:30:00+00:00,2024-05-27 15:29:00+00:00,18879.0,18928.25,18876.0,18924.25,25216,476554380.0,120,18898.888800761422,2024-05-27 15:30:00+00:00,2024-05-27 16:59:00+00:00,18924.25,18956.0,18923.25,18950.75,13803,261431893.58333334,90,18940.222675022338,primary_2023_2025,52.25,120.75,0.432712215320911,standard,le_0_7,32.75,0.6267942583732058,False,0.8091603053435115,0.8091603053435115,1,1,False,True,0.8396946564885496,False,False,2024,2024-05,2024-W22
NQ,2024-05-28,2024-05-28 13:30:00+00:00,2024-05-28 15:29:00+00:00,18920.25,18936.5,18839.0,18927.25,169993,3211607019.75,120,18892.58392845588,2024-05-28 15:30:00+00:00,2024-05-28 17:59:00+00:00,18927.0,18944.5,18891.25,18902.25,118592,2244018250.8333335,150,18922.17224461459,primary_2023_2025,97.5,113.875,0.8562019758507134,standard,0_7_to_1_0,53.25,0.5461538461538461,False,0.4647887323943662,-0.4647887323943662,1,-1,True,True,0.20657276995305165,True,True,2024,2024-05,2024-W22
NQ,2024-05-29,2024-05-29 13:30:00+00:00,2024-05-29 15:29:00+00:00,18765.25,18879.75,18761.0,18849.25,200634,3778095915.6666665,120,18830.78598675532,2024-05-29 15:30:00+00:00,2024-05-29 17:59:00+00:00,18849.25,18878.0,18816.5,18859.5,112401,2118379606.5,150,18846.62597752689,primary_2023_2025,118.75,105.25,1.1282660332541568,standard,1_0_to_1_3,61.5,0.5178947368421053,False,0.16666666666666666,0.16666666666666666,1,1,False,False,0.6991869918699187,True,True,2024,2024-05,2024-W22
NQ,2024-05-30,2024-05-30 13:30:00+00:00,2024-05-30 15:29:00+00:00,18764.75,18769.5,18623.75,18674.0,206969,3871118912.75,120,18703.858610468233,2024-05-30 15:30:00+00:00,2024-05-30 17:59:00+00:00,18674.25,18729.0,18667.25,18702.75,108698,2032234949.25,150,18696.157696093764,primary_2023_2025,145.75,112.0,1.3013392857142858,standard,1_3_to_1_5,61.75,0.4236706689536878,True,0.46153846153846156,0.46153846153846156,-1,1,True,False,0.5748987854251012,True,True,2024,2024-05,2024-W22
NQ,2024-05-31,2024-05-31 13:30:00+00:00,2024-05-31 15:29:00+00:00,18602.0,18631.5,18329.5,18337.25,264471,4883239358.583333,120,18464.17701216138,2024-05-31 15:30:00+00:00,2024-05-31 17:59:00+00:00,18337.0,18367.0,18241.25,18341.25,177930,3257408931.75,150,18307.249658573597,primary_2023_2025,302.0,112.0,2.6964285714285716,exhaustion,gt_2_0,125.75,0.4163907284768212,True,0.033797216699801194,0.033797216699801194,-1,1,True,True,0.7952286282306164,False,False,2024,2024-05,2024-W22
NQ,2024-06-03,2024-06-03 13:30:00+00:00,2024-06-03 15:29:00+00:00,18712.75,18755.5,18564.25,18616.75,236454,4413459455.083333,120,18665.19261709818,2024-06-03 15:30:00+00:00,2024-06-03 17:59:00+00:00,18616.5,18637.25,18435.75,18557.25,185263,3433719102.6666665,150,18534.295043622667,primary_2023_2025,191.25,112.0,1.7075892857142858,exhaustion,1_5_to_2_0,201.5,1.05359477124183,False,0.29404466501240695,-0.29404466501240695,-1,-1,False,True,0.6029776674937966,False,False,2024,2024-06,2024-W23
NQ,2024-06-04,2024-06-04 13:30:00+00:00,2024-06-04 15:29:00+00:00,18637.75,18664.0,18567.75,18600.75,204389,3804717674.0833335,120,18615.08043037215,2024-06-04 15:30:00+00:00,2024-06-04 17:59:00+00:00,18601.5,18652.25,18570.75,18629.5,122799,2285231830.0833335,150,18609.531267219874,primary_2023_2025,96.25,120.625,0.7979274611398963,standard,0_7_to_1_0,81.5,0.8467532467532467,False,0.34355828220858897,0.34355828220858897,-1,1,True,False,0.7208588957055214,True,True,2024,2024-06,2024-W23
NQ,2024-06-05,2024-06-05 13:30:00+00:00,2024-06-05 15:29:00+00:00,18848.75,18981.75,18800.0,18965.0,207257,3913678016.1666665,120,18883.212707733233,2024-06-05 15:30:00+00:00,2024-06-05 17:59:00+00:00,18964.75,19028.25,18954.75,19024.25,112413,2134855904.75,150,18991.18344630959,primary_2023_2025,181.75,120.625,1.5067357512953368,exhaustion,1_5_to_2_0,73.5,0.40440165061898214,True,0.8095238095238095,0.8095238095238095,1,1,False,True,0.9455782312925171,False,False,2024,2024-06,2024-W23
NQ,2024-06-06,2024-06-06 13:30:00+00:00,2024-06-06 15:29:00+00:00,19102.75,19115.75,19032.25,19069.0,181938,3471158735.0833335,120,19078.800113683417,2024-06-06 15:30:00+00:00,2024-06-06 17:59:00+00:00,19069.0,19090.5,19035.25,19072.25,110851,2113263819.3333333,150,19064.003205504083,primary_2023_2025,83.5,120.625,0.6922279792746114,standard,le_0_7,55.25,0.6616766467065869,False,0.058823529411764705,0.058823529411764705,-1,1,True,False,0.669683257918552,True,True,2024,2024-06,2024-W23
NQ,2024-06-07,2024-06-07 13:30:00+00:00,2024-06-07 15:29:00+00:00,19040.5,19117.5,18992.5,19066.25,170094,3239519678.3333335,120,19045.4670848668,2024-06-07 15:30:00+00:00,2024-06-07 17:59:00+00:00,19066.25,19155.0,19056.0,19114.75,129170,2468195781.9166665,150,19108.119392402776,primary_2023_2025,125.0,112.0,1.1160714285714286,standard,1_0_to_1_3,99.0,0.792,False,0.4898989898989899,0.4898989898989899,1,1,False,True,0.5934343434343434,False,False,2024,2024-06,2024-W23
