trading_day,open_time,complete,prior_rth_close,rth_open,gap_points,gap_pct,or5_range,or15_range,or30_range,or5_return,or15_return,or30_return,or5_volume,or15_volume,or30_volume,or5_bars,or15_bars,or30_bars,or30_range_z,or30_volume_z,gap_label,bias_label,range_label,volume_label,regime_label
2025-02-24,2025-02-24T14:30:00Z,true,21691.250000,21757.500000,66.250000,0.305423,69.750000,117.750000,235.750000,-12.250000,-59.750000,-185.500000,33219,102807,212309,5,15,30,2.247287,1.209890,gap_up,open_drive_down,wide_opening_range,high_opening_volume,vvg_trend_down
2025-02-25,2025-02-25T14:30:00Z,true,21418.500000,21383.000000,-35.500000,-0.165745,70.250000,85.500000,191.500000,-22.250000,-61.500000,-137.500000,43174,137131,268437,5,15,30,0.686167,3.483809,flat_gap,open_drive_down,normal_opening_range,high_opening_volume,vvg_trend_down
2025-02-26,2025-02-26T14:30:00Z,true,21164.000000,21240.250000,76.250000,0.360282,52.000000,85.750000,124.500000,-25.250000,-9.500000,55.250000,42648,127393,231844,5,15,30,-0.637146,0.773731,gap_up,open_drive_up,normal_opening_range,normal_opening_volume,vvg_trend_up
2025-02-27,2025-02-27T14:30:00Z,true,21172.500000,21338.000000,165.500000,0.781674,49.500000,194.750000,385.000000,16.000000,-132.750000,-302.500000,33882,138082,316534,5,15,30,4.427981,3.150565,gap_up,open_drive_down,wide_opening_range,high_opening_volume,vvg_trend_down
2025-02-28,2025-02-28T14:30:00Z,true,20611.500000,20578.750000,-32.750000,-0.158892,130.000000,184.500000,184.500000,-80.250000,49.500000,-15.000000,62467,176904,284869,5,15,30,-0.269719,0.910101,flat_gap,two_way_open,normal_opening_range,normal_opening_volume,neutral_open
2025-03-03,2025-03-03T14:30:00Z,true,20938.500000,21058.000000,119.500000,0.570719,97.750000,178.500000,296.500000,33.000000,-98.750000,-195.250000,42655,142336,272460,5,15,30,0.822559,0.259817,gap_up,open_drive_down,normal_opening_range,normal_opening_volume,drift_down
2025-03-04,2025-03-04T14:30:00Z,true,20465.750000,20331.500000,-134.250000,-0.655974,105.750000,171.500000,171.500000,-35.250000,-39.750000,-17.250000,50231,164936,289201,5,15,30,-0.700444,0.525901,gap_down,two_way_open,normal_opening_range,normal_opening_volume,neutral_open
2025-03-05,2025-03-05T14:30:00Z,true,20394.500000,20430.250000,35.750000,0.175292,63.750000,142.750000,185.500000,-23.250000,13.250000,-104.750000,39591,139449,256809,5,15,30,-0.494143,-0.802832,flat_gap,open_drive_down,normal_opening_range,low_opening_volume,drift_down
2025-03-06,2025-03-06T14:30:00Z,true,20664.250000,20314.500000,-349.750000,-1.692537,78.000000,91.500000,115.250000,-33.500000,-56.500000,-33.500000,50122,150187,254850,5,15,30,-1.549258,-1.471470,gap_down,open_drive_down,narrow_opening_range,low_opening_volume,vvg_trend_down
2025-03-07,2025-03-07T14:30:00Z,true,20090.750000,20035.250000,-55.500000,-0.276247,72.750000,158.000000,218.000000,53.250000,128.000000,113.000000,42666,151092,264850,5,15,30,0.464689,-0.483383,gap_down,open_drive_up,normal_opening_range,normal_opening_volume,drift_up
2025-03-10,2025-03-10T13:30:00Z,true,20248.750000,19880.250000,-368.500000,-1.819865,110.250000,110.250000,157.500000,-78.250000,-12.500000,-68.000000,49372,133359,262717,5,15,30,-0.667771,-0.394488,gap_down,open_drive_down,normal_opening_range,normal_opening_volume,vvg_trend_down
2025-03-11,2025-03-11T13:30:00Z,true,19451.750000,19431.250000,-20.500000,-0.105389,74.500000,166.500000,212.500000,-6.250000,100.750000,98.750000,42966,155288,281177,5,15,30,1.272147,1.257620,flat_gap,open_drive_up,wide_opening_range,high_opening_volume,vvg_trend_up
2025-03-12,2025-03-12T13:30:00Z,true,19422.750000,19691.750000,269.000000,1.384974,90.250000,105.750000,187.250000,62.250000,17.750000,-61.500000,40699,129744,280564,5,15,30,0.250277,1.771654,gap_up,open_drive_down,normal_opening_range,high_opening_volume,vvg_trend_down
2025-03-13,2025-03-13T13:30:00Z,true,19617.750000,19571.250000,-46.500000,-0.237030,63.500000,92.000000,238.250000,-50.750000,-63.000000,-195.750000,44318,135725,277906,5,15,30,1.581409,0.874169,flat_gap,open_drive_down,wide_opening_range,normal_opening_volume,vvg_trend_down
