trading_day,regime,mode,source,timeframe,variant,prior_trades,prior_total_r,prior_avg_r,day_trades,day_win_rate,day_avg_r,day_total_r,day_profit_factor,day_max_drawdown_r,day_pnl_usd,day_max_drawdown_usd
2025-03-03,drift_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,40,11.437665,0.285942,2,50.000000,0.443780,0.887561,1.838,1.059733,43.020000,39.740000
2025-03-04,neutral_open,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,42,12.325226,0.293458,1,0.000000,-0.060578,-0.060578,0.000,0.060578,-5.240000,5.240000
2025-03-05,drift_down,same_regime_only,same_regime_prior,1,vwap_delta_rejection,16,0.595649,0.037228,1,100.000000,1.785882,1.785882,Inf,0.000000,106.260000,0.000000
2025-03-05,drift_down,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,16,0.595649,0.037228,1,100.000000,1.785882,1.785882,Inf,0.000000,106.260000,0.000000
2025-03-06,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,44,14.050530,0.319330,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-07,drift_up,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,44,14.050530,0.319330,1,0.000000,-1.035840,-1.035840,0.000,1.035840,-64.740000,64.740000
2025-03-10,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,45,13.014690,0.289215,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-11,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,7,10.319093,1.474156,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-11,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,7,10.319093,1.474156,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-03-12,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,45,13.014690,0.289215,2,50.000000,0.439953,0.879907,1.851,1.033939,-18.480000,68.240000
2025-03-13,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,47,13.894597,0.295630,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
