root,session_date,globex_first_timestamp,globex_last_timestamp,globex_open,globex_high,globex_low,globex_close,globex_volume,globex_bar_count,rth_morning_first_timestamp,rth_morning_last_timestamp,rth_morning_open,rth_morning_high,rth_morning_low,rth_morning_close,rth_morning_volume,rth_morning_bar_count,rth_morning_atr20,cohort,globex_range,globex_reference_median_20,globex_range_ratio,globex_state,globex_range_ratio_bin,rth_morning_range,rth_morning_range_div_atr20,rth_morning_trendiness,rth_morning_signed_trendiness,breached_globex_high,breached_globex_low,closed_outside_globex_range,max_extension_beyond_globex_range,failed_breakout_reentry,year,month,week
MNQ,2023-01-23,2023-01-22 23:00:00+00:00,2023-01-23 14:29:00+00:00,11677.75,11723.5,11650.25,11704.0,194623,930,2023-01-23 14:30:00+00:00,2023-01-23 16:29:00+00:00,11704.0,11957.25,11671.75,11911.25,414829,120,,primary_2023_2025,73.25,,,unclassified,,285.5,,0.7259194395796847,0.7259194395796847,True,False,True,233.75,False,2023,2023-01,2023-W04
MNQ,2023-01-24,2023-01-23 23:00:00+00:00,2023-01-24 14:29:00+00:00,11933.0,11944.5,11835.75,11859.5,186713,930,2023-01-24 14:30:00+00:00,2023-01-24 16:29:00+00:00,11860.0,11951.75,11838.0,11936.75,414720,120,,primary_2023_2025,108.75,,,unclassified,,113.75,,0.6747252747252748,0.6747252747252748,True,False,False,7.25,True,2023,2023-01,2023-W04
MNQ,2023-01-25,2023-01-24 23:00:00+00:00,2023-01-25 14:29:00+00:00,11973.0,11976.5,11701.5,11712.5,284621,930,2023-01-25 14:30:00+00:00,2023-01-25 16:29:00+00:00,11712.5,11744.0,11604.5,11724.25,485663,120,220.95,primary_2023_2025,275.0,,,unclassified,,139.5,0.6313645621181263,0.08422939068100359,0.08422939068100359,False,True,False,97.0,True,2023,2023-01,2023-W04
MNQ,2023-01-26,2023-01-25 23:00:00+00:00,2023-01-26 14:29:00+00:00,11875.0,12026.0,11867.25,12017.75,287156,930,2023-01-26 14:30:00+00:00,2023-01-26 16:29:00+00:00,12017.75,12075.0,11904.0,11946.0,459060,120,226.9125,primary_2023_2025,158.75,,,unclassified,,171.0,0.7535944471988101,0.4195906432748538,-0.4195906432748538,True,False,False,49.0,True,2023,2023-01,2023-W04
MNQ,2023-01-27,2023-01-26 23:00:00+00:00,2023-01-27 14:29:00+00:00,12050.25,12083.5,12016.0,12047.0,221255,930,2023-01-27 14:30:00+00:00,2023-01-27 16:29:00+00:00,12047.0,12192.5,12041.75,12157.75,433493,120,220.5,primary_2023_2025,67.5,,,unclassified,,150.75,0.6836734693877551,0.7346600331674958,0.7346600331674958,True,False,True,109.0,False,2023,2023-01,2023-W04
MNQ,2023-01-30,2023-01-29 23:00:00+00:00,2023-01-30 14:29:00+00:00,12213.25,12252.0,12039.25,12083.0,283625,930,2023-01-30 14:30:00+00:00,2023-01-30 16:29:00+00:00,12082.75,12143.5,11982.5,12055.0,435731,120,216.8875,primary_2023_2025,212.75,,,unclassified,,161.0,0.7423203273586537,0.17236024844720496,-0.17236024844720496,False,True,False,56.75,True,2023,2023-01,2023-W05
MNQ,2023-01-31,2023-01-30 23:00:00+00:00,2023-01-31 14:29:00+00:00,11984.25,12016.75,11871.25,11974.5,317707,930,2023-01-31 14:30:00+00:00,2023-01-31 16:29:00+00:00,11974.25,12092.25,11969.25,12083.75,403714,120,209.0625,primary_2023_2025,145.5,133.875,1.0868347338935573,neutral,0_9_to_1_1,123.0,0.5883408071748879,0.8902439024390244,0.8902439024390244,True,False,True,75.5,False,2023,2023-01,2023-W05
MNQ,2023-02-01,2023-01-31 23:00:00+00:00,2023-02-01 14:29:00+00:00,12121.25,12169.25,12084.75,12143.75,181746,930,2023-02-01 14:30:00+00:00,2023-02-01 16:29:00+00:00,12143.75,12157.75,12076.75,12130.25,279327,120,220.5625,primary_2023_2025,84.5,133.875,0.6311858076563959,compression,0_5_to_0_7,81.0,0.3672428449985832,0.16666666666666666,-0.16666666666666666,False,True,False,8.0,True,2023,2023-02,2023-W05
MNQ,2023-02-02,2023-02-01 23:00:00+00:00,2023-02-02 14:29:00+00:00,12514.0,12683.0,12501.25,12681.25,307879,930,2023-02-02 14:30:00+00:00,2023-02-02 16:29:00+00:00,12681.5,12831.5,12647.5,12809.25,434683,120,232.5375,primary_2023_2025,181.75,133.875,1.357609710550887,expansion,gt_1_3,184.0,0.7912702252324894,0.6942934782608695,0.6942934782608695,True,False,True,148.5,False,2023,2023-02,2023-W05
MNQ,2023-02-03,2023-02-02 23:00:00+00:00,2023-02-03 14:29:00+00:00,12739.5,12761.5,12550.5,12575.25,424161,930,2023-02-03 14:30:00+00:00,2023-02-03 16:29:00+00:00,12574.5,12857.25,12558.25,12840.5,533659,120,244.2375,primary_2023_2025,211.0,133.875,1.5760971055088702,expansion,gt_1_3,299.0,1.224218230206254,0.8896321070234113,0.8896321070234113,True,False,True,95.75,False,2023,2023-02,2023-W05
MNQ,2023-02-06,2023-02-05 23:00:00+00:00,2023-02-06 14:29:00+00:00,12578.25,12605.0,12456.75,12509.25,317601,930,2023-02-06 14:30:00+00:00,2023-02-06 16:29:00+00:00,12509.0,12598.25,12456.5,12591.5,408786,120,236.1375,primary_2023_2025,148.25,133.875,1.1073762838468721,neutral,1_1_to_1_3,141.75,0.6002858504049547,0.582010582010582,0.582010582010582,False,True,False,0.25,True,2023,2023-02,2023-W06
