root,year,state,days,mean_rth_morning_range,median_rth_morning_range,mean_rth_morning_range_div_atr20,median_rth_morning_range_div_atr20,mean_trendiness,median_trendiness,mean_signed_trendiness,median_signed_trendiness,breached_globex_high_rate,breached_globex_low_rate,closed_outside_globex_range_rate,failed_breakout_reentry_rate,mean_max_extension_beyond_globex_range,median_max_extension_beyond_globex_range
NQ,2023,compression,57,109.62719298245614,102.25,0.5321788332510692,0.48436979587952617,0.44571180389392917,0.455026455026455,-0.04132292430368148,-0.138328530259366,0.543859649122807,0.5964912280701754,0.5263157894736842,0.42105263157894735,54.921052631578945,41.5
NQ,2023,neutral,119,136.6218487394958,132.25,0.6479528517365347,0.6140183951791944,0.4932142479692337,0.5251396648044693,0.07103569468331387,0.1651376146788991,0.5630252100840336,0.46218487394957986,0.5882352941176471,0.31932773109243695,60.60294117647059,49.25
NQ,2023,expansion,61,155.86065573770492,148.75,0.7621288412640279,0.7227464364585425,0.4977422363878736,0.5513078470824949,0.09040487428611196,0.14304812834224598,0.5245901639344263,0.4262295081967213,0.4426229508196721,0.4262295081967213,50.881147540983605,35.5
NQ,2024,unconditional,259,172.2934362934363,155.25,0.6569376693390347,0.6100872938894277,0.4737482313795692,0.46174863387978143,0.03335235079738251,-0.0058997050147492625,0.5405405405405406,0.4671814671814672,0.5019305019305019,0.3590733590733591,71.05984555984556,50.25
NQ,2024,compression,51,136.73529411764707,127.0,0.4803430238333102,0.40737975898474993,0.46188623736170786,0.462406015037594,-0.08008060915277587,-0.1510989010989011,0.6078431372549019,0.6078431372549019,0.6666666666666666,0.27450980392156865,67.18627450980392,46.0
NQ,2024,neutral,132,163.39583333333334,152.5,0.6407554339042019,0.6128374752181625,0.4705589704265103,0.453089682983446,0.146107238857508,0.18552242203505576,0.6060606060606061,0.42424242424242425,0.4621212121212121,0.4166666666666667,69.80113636363636,52.125
NQ,2024,expansion,76,211.60855263157896,181.125,0.8035479587889018,0.7628959452481461,0.4872474963889733,0.478585882399167,-0.0863656000773344,-0.1909578422002761,0.3815789473684211,0.4473684210526316,0.4605263157894737,0.3157894736842105,75.84539473684211,55.875
NQ,2025,unconditional,257,223.77918287937743,194.5,0.6358762759836197,0.5562158307582601,0.4752837496439729,0.48134092346616064,0.018767660087876465,0.029327610872675252,0.5136186770428015,0.44357976653696496,0.4669260700389105,0.38132295719844356,89.11186770428016,66.0
NQ,2025,compression,57,157.82456140350877,140.0,0.45545984555481356,0.4316327308777549,0.4168586168538545,0.4100877192982456,0.04149428034194106,0.09125964010282776,0.5789473684210527,0.5789473684210527,0.45614035087719296,0.5263157894736842,69.41228070175438,48.5
NQ,2025,neutral,117,209.00213675213675,191.0,0.5952084154289411,0.505883732749521,0.5226158846521557,0.5861581920903954,0.018521728520655048,0.07894736842105263,0.5042735042735043,0.4444444444444444,0.5128205128205128,0.3162393162393162,90.27564102564102,69.0
NQ,2025,expansion,83,289.90361445783134,254.75,0.8171037003130096,0.722216233696238,0.448685831247339,0.4695290858725762,0.003506896700927358,-0.005203816131830009,0.4819277108433735,0.3493975903614458,0.40963855421686746,0.37349397590361444,101.0,73.75
