source_file,source_row,family,variant,candidate_id,status_raw,net_dollars,profit_factor,max_drawdown_dollars,trades,largest_winner_share,net_without_largest,triage_score,suggested_status,score_reasons,missing_required_metrics,status_cap_reasons,suggested_status_rank
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,2,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:2,,446.380063,2.55068467,108.4599845,19.0,0.14575616,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/period_payoff.csv,2,unknown_other,period_payoff,unknown_other:period_payoff:reports/pattern_ml_20260612/payoff_asymmetry/period_payoff.csv:2,,446.380063,2.55068467,108.4599845,19.0,0.14575616,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,6,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:6,,427.380063,2.44943392,110.4599845,19.0,0.14679332,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,10,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:10,,408.380063,2.3528791,112.4599845,19.0,0.14786552,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,17,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:17,,399.740044,4.01827267,58.980008,12.0,0.19921832,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,14,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:14,,370.380063,2.17260838,116.4599845,19.0,0.15012241,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,22,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:22,,353.2999895,2.75893668,111.939967,15.0,0.18048938,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,28,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:28,,335.999939,1.79942887,104.940012,25.0,0.12431576,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,31,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:31,,310.2400615,3.00258266,79.9599925,12.0,0.23007138,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,9,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:9,,215.8000865,1.97930715,76.959972,15.0,0.20868488,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,1,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:1,,163.400076,1.53608952,141.3399915,20.0,0.18158905,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,30,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:30,,136.1400015,2.02407097,84.960008,7.0,0.39400927,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,10,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:10,,54.8200255,1.2190173,70.8399835,16.0,0.2917541,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/performance_breakdowns.csv,23,unknown_other,performance_breakdowns,unknown_other:performance_breakdowns:reports/pattern_ml_20260612/performance_breakdowns.csv:23,,1020.580034,,137.3599945,54.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/regime_shift/cohort_stability.csv,2,multi_timeframe_regime_selector,cohort_stability,multi_timeframe_regime_selector:cohort_stability:reports/pattern_ml_20260612/regime_shift/cohort_stability.csv:2,,1020.580034,,137.3599945,54.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/regime_shift/predefined_rule_audit.csv,7,multi_timeframe_regime_selector,predefined_rule_audit,multi_timeframe_regime_selector:predefined_rule_audit:reports/pattern_ml_20260612/regime_shift/predefined_rule_audit.csv:7,,1020.580034,,137.3599945,54.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/model_summary.csv,11,unknown_other,model_summary,unknown_other:model_summary:reports/pattern_ml_20260612/model_summary.csv:11,,845.6000545,,208.3399495,80.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/regime_shift/period_summary.csv,3,multi_timeframe_regime_selector,period_summary,multi_timeframe_regime_selector:period_summary:reports/pattern_ml_20260612/regime_shift/period_summary.csv:3,,845.6000545,,208.3399495,80.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/regime_shift/predefined_rule_audit.csv,3,multi_timeframe_regime_selector,predefined_rule_audit,multi_timeframe_regime_selector:predefined_rule_audit:reports/pattern_ml_20260612/regime_shift/predefined_rule_audit.csv:3,,845.6000545,,208.3399495,80.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/regime_shift/cohort_stability.csv,29,multi_timeframe_regime_selector,cohort_stability,multi_timeframe_regime_selector:cohort_stability:reports/pattern_ml_20260612/regime_shift/cohort_stability.csv:29,,509.6001155,,155.2999815,55.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/regime_shift/predefined_rule_audit.csv,39,multi_timeframe_regime_selector,predefined_rule_audit,multi_timeframe_regime_selector:predefined_rule_audit:reports/pattern_ml_20260612/regime_shift/predefined_rule_audit.csv:39,,509.6001155,,155.2999815,55.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/performance_breakdowns.csv,10,unknown_other,performance_breakdowns,unknown_other:performance_breakdowns:reports/pattern_ml_20260612/performance_breakdowns.csv:10,,492.300065,,202.7999815,65.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
reports/pattern_ml_20260612/regime_shift/cohort_stability.csv,22,multi_timeframe_regime_selector,cohort_stability,multi_timeframe_regime_selector:cohort_stability:reports/pattern_ml_20260612/regime_shift/cohort_stability.csv:22,,492.300065,,202.7999815,65.0,,,55.0,diagnostic_only,"positive_net,sample_primary_level,preferred_drawdown,capped_from_research_monitor_missing_required","profit_factor,largest_winner_share,net_without_largest","missing_required_for_promotion:profit_factor,largest_winner_share,net_without_largest",1
