root,session_date,timestamp_first,timestamp_last,open,high,low,close,volume,source_label,source_path,tr,close_to_close_return_points,trendiness,signed_trendiness,prior_day_tr,atr20,range_ratio,state,state_next,range_ratio_bin
NQ,2023-03-22,2023-03-22 04:00:00+00:00,2023-03-23 03:59:00+00:00,12875.0,13082.0,12678.0,12770.75,713758,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,404.0,-104.5,0.25804455445544555,-0.25804455445544555,211.75,265.3,0.7981530343007915,compression,expansion,0_7_to_0_9
NQ,2023-03-23,2023-03-23 04:00:00+00:00,2023-03-24 03:59:00+00:00,12770.25,13031.0,12733.5,12861.25,820431,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,297.5,90.5,0.3058823529411765,0.3058823529411765,404.0,276.35,1.4619142391894335,expansion,neutral,gt_1_3
NQ,2023-03-24,2023-03-24 04:00:00+00:00,2023-03-24 20:59:00+00:00,12861.5,12924.75,12728.0,12922.75,648050,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,196.75,61.5,0.3113087674714104,0.3113087674714104,297.5,282.05,1.0547775217160078,neutral,compression,0_9_to_1_1
NQ,2023-03-26,2023-03-26 22:00:00+00:00,2023-03-27 03:59:00+00:00,12916.0,12961.25,12902.5,12951.0,26433,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,58.75,28.25,0.5957446808510638,0.5957446808510638,196.75,277.5125,0.7089770731048152,compression,compression,0_7_to_0_9
NQ,2023-03-27,2023-03-27 04:00:00+00:00,2023-03-28 03:59:00+00:00,12950.75,12984.5,12765.5,12809.25,543727,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,219.0,-141.75,0.6461187214611872,-0.6461187214611872,58.75,267.2625,0.21982133670080914,compression,neutral,lt_0_7
NQ,2023-03-28,2023-03-28 04:00:00+00:00,2023-03-29 03:59:00+00:00,12809.0,12833.5,12634.25,12773.75,537477,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,199.25,-35.5,0.17691342534504392,-0.17691342534504392,219.0,262.7125,0.8336108864252748,neutral,compression,0_7_to_0_9
NQ,2023-03-29,2023-03-29 04:00:00+00:00,2023-03-30 03:59:00+00:00,12774.0,12994.0,12772.25,12943.0,554128,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,221.75,169.25,0.762119503945885,0.762119503945885,199.25,267.5875,0.7446162470220022,compression,neutral,0_7_to_0_9
NQ,2023-03-30,2023-03-30 04:00:00+00:00,2023-03-31 03:59:00+00:00,12943.0,13138.75,12941.75,13130.0,575920,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,197.0,187.0,0.949238578680203,0.949238578680203,221.75,269.1375,0.8239282894431286,neutral,compression,0_7_to_0_9
NQ,2023-03-31,2023-03-31 04:00:00+00:00,2023-03-31 20:59:00+00:00,13130.0,13311.5,13057.5,13308.0,589765,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,254.0,178.0,0.7007874015748031,0.7007874015748031,197.0,266.8625,0.738207878589161,compression,neutral,0_7_to_0_9
NQ,2023-04-02,2023-04-02 22:00:00+00:00,2023-04-03 03:59:00+00:00,13262.0,13275.5,13200.0,13216.0,36781,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,75.5,-92.0,0.609271523178808,-0.609271523178808,254.0,272.25,0.9329660238751147,neutral,compression,0_9_to_1_1
