root,session_date,coiled_cohort,globex_state,globex_range_ratio,rth_morning_range_div_atr20,closed_outside_globex_range,failed_breakout_reentry,lunch_cohort,morning_state,morning_range_ratio,lunch_range_div_morning_range,lunch_range_contraction,trend_continuation_failure,vwap_cross,inside_state,inside_sub_state,rest_rth_range_div_first_hour_range,new_rth_high_or_low_after_10_30,new_session_high_or_low_after_10_30,chop_index,first_hour_vwap_cross_count,year,month,week,eligible_primary_states
MNQ,2023-02-23,primary_2023_2025,neutral,0.7257799671592775,0.7427134191448439,True,False,primary_2023_2025,standard,1.2871794871794873,0.5139442231075697,False,True,False,trapped,trapped,2.3054830287206265,True,True,0.4938271604938271,18,2023,2023-02,2023-W08,True
MNQ,2023-02-24,primary_2023_2025,expansion,1.6408510638297873,0.4793223716990533,False,True,primary_2023_2025,standard,0.8222222222222222,0.7255717255717256,False,False,True,broken,broken_down,0.9038901601830664,True,True,0.4968944099378882,35,2023,2023-02,2023-W08,True
MNQ,2023-02-27,primary_2023_2025,neutral,1.0870279146141215,0.5142207053469852,False,True,primary_2023_2025,standard,0.8014184397163121,0.6061946902654868,False,True,True,broken,broken_up,1.2048192771084338,True,False,0.5705521472392638,7,2023,2023-02,2023-W09,True
MNQ,2023-02-28,primary_2023_2025,neutral,0.8045977011494253,0.390473390179359,False,False,primary_2023_2025,standard,0.5981981981981982,1.2530120481927711,False,False,True,trapped,trapped,1.5421686746987953,True,True,0.5202492211838006,34,2023,2023-02,2023-W09,True
MNQ,2023-03-01,primary_2023_2025,neutral,1.0032840722495897,0.7075202556202215,True,False,primary_2023_2025,standard,1.117117117117117,0.5725806451612904,False,True,True,broken,broken_down,0.889763779527559,True,True,0.4420062695924764,46,2023,2023-03,2023-W09,True
MNQ,2023-03-02,primary_2023_2025,neutral,1.0372168284789645,0.4096318848602269,False,False,primary_2023_2025,standard,0.6560283687943262,1.281081081081081,False,False,True,trapped,trapped,2.5162241887905603,True,True,0.4907407407407407,18,2023,2023-03,2023-W09,True
MNQ,2023-03-03,primary_2023_2025,neutral,0.9239482200647248,0.5529797580006786,True,False,primary_2023_2025,standard,0.8810810810810811,0.7791411042944786,False,False,False,broken,broken_up,1.317391304347826,True,True,0.4921135646687697,0,2023,2023-03,2023-W09,True
MNQ,2023-03-06,primary_2023_2025,neutral,0.7093023255813954,0.6634730538922156,True,False,primary_2023_2025,standard,1.0137236962488565,0.8267148014440433,False,True,True,broken,broken_up,1.7911227154046998,True,True,0.5299684542586751,15,2023,2023-03,2023-W10,True
MNQ,2023-03-07,primary_2023_2025,compression,0.4686971235194585,0.8915054667788058,True,False,primary_2023_2025,standard,1.3577310155535225,0.7601078167115903,False,False,True,broken,broken_down,0.9528301886792452,True,True,0.5015479876160991,19,2023,2023-03,2023-W10,True
MNQ,2023-03-08,primary_2023_2025,compression,0.5296108291032149,0.5810237638719424,False,True,primary_2023_2025,standard,0.9066183136899364,0.902,False,True,True,broken,broken_down,1.0488372093023255,True,True,0.5107692307692308,28,2023,2023-03,2023-W10,True
